url,text,likes,comments1,comments,shares_n,shares_t,shares,time,sf,pf,saturation,wc,logwc,post_interval,revenue,start date,d date,page active,person,plant,cluster1,cluster2,cluster3,pfr,sfr
https://www.facebook.com/IKEAIndia/posts/pfbid02WdpstJhZGhccDkhe2sg9cYR8Udb3yiwmopDgdzXepU4HuUFW21Z2jZrRR2X8k2ASl,"A weekend of connection, conversations, belonging and memories of home. 

It all starts with you, it all starts at home 💗🏡

#IKEAIndia #ItAllStartsAtHome",26,0,0,0,95,47,18,0,0,25,12,2.48490665,1,1.45,11-05-2009,16-03-2026,6153,0,1,,1,1,0,0
https://www.facebook.com/Pepperfry/posts/pfbid03Wz1dwYeAc7tvuLtF1CsypDKfhjKf6m5URXrzZ28A4WVPxG4znSAvuWnDfA2UX2Bl,"This Women’s Day, give your home a smart upgrade. ✨

But first… we want to hear the truth 👀
What’s the worst gift you’ve ever received?

Tell us in the comments for a chance to win a Smart Vacuum cleaner from ILIFE ! 🎁

How to participate:
• Comment the worst gift you’ve ever received
• The 3 comments with the most likes win

📅 Winners will be announced on 8th March
📍 Prizes must be collected from the Pepperfry store

Tag your friends and get those likes coming 😉",27,41,41,19,0,0,18,0,0,63,29,3.36729583,1,2.849598554,02-10-2001,16-03-2026,8931,0,1,,1,0,0,0
https://www.facebook.com/Pepperfry/posts/pfbid0YdvCiCXFQJ3GkSJhqnUcjCwySp5RcsGDWKAdk6iMSKfxPHTEB2Lw4LgGDzNBL21Ul,"If not on a Tuesday, then when?🪧🏴🕯️

#pepperfry #pepperfryfurniture #pepperfryhome #homedecor",17,41,41,37,0,0,26,0,0,58,29,3.36729583,1,2.386886964,02-10-2001,16-03-2026,8931,0,0,,1,1,0,0
https://www.facebook.com/Pepperfry/posts/pfbid02mfKgfbV5fHaaAhF8vgDWDwC3TucrG795YrbKK3pXmxE51qLcdhtiTgU4Ktswmmpel,"From the hands that craft it with care to the homes that style it with love.
.
.
.
#pepperfry #madeinindia #craftedwithcare #pepperfryhomes",17,41,41,1,89,44,45,0,0,24,29,3.36729583,1,1.45,02-10-2001,16-03-2026,8931,0,1,,1,0,0,0
https://www.facebook.com/wayfair/posts/pfbid02YrhF2gvib27TTDkfdXUt4dD7dxw6BBybXPQrxUCLhMNj8yDPLHkGRzUBGbWzv9yhl,"Our 72-Hour Clearout is BACK ⏰ ❄️ 📆 Save up to 60% on seasonal decor, cozy upgrades, and more through Jan. 19. https://spr.ly/6182CI7TA",76,33,33,3,0,0,57,0,0,32,19,2.944438979,9,1.74525597,25-08-2011,16-03-2026,5317,0,1,,0,0,0,0
https://www.facebook.com/Natuzzi/posts/pfbid0GLho6sekXHdpEHzVL9q1dHaDcJsmLx81Xhx4zb65r9MEsXp8CLpPj42sdGFxE93tl,"The Nodo sideboard brings sculptural character and functionality into contemporary living spaces.
Defined by clean lines and refined details, it reflects Natuzzi’s approach to Italian design — where form, craftsmanship, and everyday use come together.
A distinctive piece that adds rhythm, balance, and purpose to the living area.

#Natuzzi #NatuzziItalia #NodoSideboard",52,62,62,8,0,0,65,0,0,47,46,3.828641396,5,1.45,11-05-2011,16-03-2026,5423,0,0,,1,1,0,0
https://www.facebook.com/woodenstreet/posts/pfbid0wrNMsf1XRrrsN4J4fBJXncfkYo6suFEUKLPPLzjsgQL9tJqxfkchVZTYtaXS8jeHl,"Light in look, effortless in feel.
The Float Sofa paired with Cloud Dancer lives up to its name — airy, relaxed, and beautifully balanced.

(pantone color 2026, pantone 2026, cloud dancer, furniture, pantone color of the year)",12,14,14,32,0,0,67,0,0,63,35,3.555348061,2,3.649879966,22-05-2015,16-03-2026,6333,1,0,,1,1,0,0
https://www.facebook.com/BoConceptIn/posts/pfbid02zo4fASQCt5Ey3jYmnT4oVvBioY7ADnUKQ3NowQLCnkUZa4YRJLemM6CfwreS3BCFl,"For those who enjoy bringing people together, the perfect gift adds comfort, atmosphere and a considered touch to hosting at home.

From soft natural textiles to sculptural accents and decorative ceramic stoneware, it’s the thoughtful details that elevate every occasion.

Featured gifts:
(01) Sweet Art bowl
(02) Bouclé single cushion
(03) Cuddle Me plaid
(04) Luna metal vase
(05) Paris table lamp

Explore our gift edit via the link in bio.

#MinimalistHomeDecor #QuietLuxuryHome #DesignForLiving",0,0,0,52,0,0,70,0,0,52,33,3.496507561,16,2.723110627,20-01-2011,16-03-2026,5534,1,0,,0,1,0,0
https://www.facebook.com/Natuzzi/posts/pfbid0BVvbupEBgg2cx6UYYoFC5nGzXm1tSrepZABsWE4wTyrozNvppkesLg36kVDQB1Khl,"In Miami, Unexpected Roots takes shape through the people who imagined it.
@simple_flair, @ananas____ananas , and @iampjnatuzzi translate heritage, experimentation, and a holistic vision into a shared dialogue.

A meeting of different cultures and sensibilities, united by the idea that design can become a story, a relationship, an experience.
From these connections, the new expression of our Harmony is born. 

#natuzzi #natuzziitalia #ArtBaselMiamiBeach",133,4,4,10,0,0,94,0,0,63,46,3.828641396,4,2.360582151,11-05-2011,16-03-2026,5423,1,1,,0,0,0,0
https://www.facebook.com/cb2/posts/pfbid0L6uXP3FZF8r1UTciyB3L6jkZuJ3qCgtMk1fRkVYK3p2F5jSeScAMvsJoWuGefQE7l,"Your home deserves a gift, too. And these chairs are the gifts that keep giving.

Tap to shop: https://cb2.visitlink.me/QqyQaC",21,3,3,1,70,36,104,0,0,20,16,2.772588722,2,3.268442506,12-11-2008,16-03-2026,6333,1,1,,0,1,0,0
